Cod FGO,Cod produs,Nume produs,Categorie,Categorie conta,Stoc initial,UM,Pret vanzare fara TVA (RON),Pret vanzare cu TVA (RON),Pret intrare,Moneda pret intrare,TVA %,Descriere
00448146,11100-KGBG-C00,11100-KGBG-C00 CRANK CASE COMP,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00451682,11100-KUDU-305,11100-KUDU-305 CRANK CASE COMP R,Pe comanda,Marfuri gestiune 1 firma,0,BUC,519.8347,629,,EUR,21,Carter
00448733,11100-KUDU-C00,11100-KUDU-C00 CRANK CASE SET,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00445402,11102-1G87-004,11102-1G87-004 RUB BUSH ENG HANGER,Marfuri,Marfuri gestiune 1 firma,11,BUC,20.6612,25,,EUR,21,Bucsa motor
00450203,11102-1G87-C00,11102-1G87-C00 RUB BUSH ENG HANGER,Marfuri,Marfuri gestiune 1 firma,0,BUC,1.86,2.21,,EUR,21,Bucsa motor
00445403,11103-KHE7-900,11103-KHE7-900 RUB BUSH ENG HANGER,Pe comanda,Marfuri gestiune 1 firma,3,BUC,0,0,,EUR,21,
00446874,11107-PWB1-900,11107-PWB1-900 PIPE OIL,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00449194,1110A-LDB5-E00,1110A-LDB5-E00 CRANK CASE COMP L/R,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00448051,11110-LLJ3-E00,11110-LLJ3-E00 BUSH ASSY ENG HANGER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00448735,11152-KGBG-E00,11152-KGBG-E00 GASKET CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,1,BUC,0,0,,EUR,21,
00448556,11152-KUDU-E90,11152-KUDU-E90 GASKET CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,1,BUC,0,0,,EUR,21,
00448782,11152-LLB1-900,11152-LLB1-900 GASKET CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,1,BUC,0,0,,EUR,21,
00448500,11191-KGG7-E90,11191-KGG7-E90 GASKET CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00449297,11191-LBA8-E90,11191-LBA8-E90 GASKET CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00447608,11191-LCA7-E90,11191-LCA7-E90 GASKET CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00451634,11192-BLB5-E00,11192-BLB5-E00 GASKET CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,12.3967,15,,EUR,21,Garnitura
00451324,11192-KEBE-980,11192-KEBE-980 GASKET CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,3.55,4.3,,EUR,21,Garnitura carter
00447414,11192-KGBG-980,11192-KGBG-980 GASKET CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,2,BUC,0,0,,EUR,21,Garnitura intre cartere
00445462,11192-KGBG-C10,11192-KGBG-C10 GASKET CARNK CASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,Garnitura intre cartere
00447086,11192-KGBG-E90,11192-KGBG-E90 GASKET CRANK CASE,Marfuri,Marfuri gestiune 1 firma,0,BUC,23.1405,28,,EUR,21,Garnitura intre cartere
00445655,11192-KHE7-900,11192-KHE7-900 GASKET CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,Garnitura intre cartere
00446730,11192-KHE7-980,11192-KHE7-980 GASKET CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,2,BUC,0,0,,EUR,21,Garnitura intre cartere
00449069,11192-KUDU-980,11192-KUDU-980 GASKET CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,Garnitura intre cartere
00446731,11192-KUDU-E90,11192-KUDU-E90 GASKET CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,1,BUC,22.314,27,,EUR,21,Garnitura intre cartere
00446656,11192-LBA7-900,11192-LBA7-900 GASKET CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,2,BUC,0,0,,EUR,21,Garnitura intre cartere
00449567,11192-LDC8-E10,11192-LDC8-E10 GASKET CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,Garnitura intre cartere
00445577,11192-LEA5-E00,11192-LEA5-E00 GASKET CRANKE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,Garnitura intre cartere
00449419,11192-LFA7-E00,11192-LFA7-E00 GASKET CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,Garnitura intre cartere
00449568,11192-LGS6-E90,11192-LGS6-E90 GASKET CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,Garnitura intre cartere
00445942,11192-LLB1-900,11192-LLB1-900 GASKET CRANK CASE A,Marfuri,Marfuri gestiune 1 firma,3,BUC,74.3802,90,,EUR,21,Garnitura intre cartere
00448407,11192-LLB1-900,11192-LLB1-900 MV0004 SEAL CRANKCASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,Garnitura intre cartere
00445578,11200-KKC3-315,11200-KKC3-315 CASE SET L CRANK,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00447629,11200-LBD6-C00,11200-LBD6-C00 CRANK CASE COMP,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00448294,11200-LBD6-E00,11200-LBD6-E00 CRANK CASE COMP LEFT,Pe comanda,Marfuri gestiune 1 firma,2,BUC,0,0,,EUR,21,
00450788,11200-LCD9-E00,11200-LCD9-E00 CRANK CASE COMP LEFT,Pe comanda,Marfuri gestiune 1 firma,0,BUC,182.41,217.07,,EUR,21,Carter stanga
00445686,11203-GGC7-W10,11203-GGC7-W10 UNDER RUBBER BUSH REAR CUSHION,Pe comanda,Marfuri gestiune 1 firma,2,BUC,0,0,,EUR,21,
00451358,11205-GHAH-C00,11205-GHAH-C00 BUSH 8*12*8,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0.48,0.58,,EUR,21,Bucsa 8*2*8
00451355,11205-LAB4-900,11205-LAB4-900 BUSH MΑΙΝ STAND,Pe comanda,Marfuri gestiune 1 firma,0,BUC,1.5733,1.9,,EUR,21,Bucsa
00450616,11207-KKC4-900,11207-KKC4-900 STAY RR FENDER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,5,5,,EUR,21,
00451408,11208-LBD6-C00,11208-LBD6-C00 STAY RR TIRE FENDER,Pe comanda,Marfuri gestiune 1 firma,1,BUC,4.57,4.57,,EUR,21,Suport aripa
00446952,11211-LBD6-E00,11211-LBD6-E00 TUBE BREATHER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,27.2727,33,,EUR,21,Furtun
00451133,1121A-ABD2-C00,1121A-ABD2-C00 TUBE BREATHER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,6.2,7.38,,EUR,21,Furtun
00450826,1121A-LDG7-900,1121A-LDG7-900 TUBE AIR/C,Pe comanda,Marfuri gestiune 1 firma,0,BUC,3.7,4.4,,EUR,21,Furtun
00446814,11221-LBA2-E00,11221-LBA2-E00 INSULATOR PLATE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00451411,1122A-LBA2-E00,1122A-LBA2-E00 TUBE ASSY,Pe comanda,Marfuri gestiune 1 firma,1,BUC,41.3223,50,,EUR,21,Furtun
00448752,11230-KFBF-900,11230-KFBF-900 RUBBER BUSH RR FORK,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00450372,11330-KFA5-900,11330-KFA5-900 COVER R SIDE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,39.34,46.81,,EUR,21,Capac dreapta
00445910,11330-LBD6-C00,11330-LBD6-C00 COVER COMP R CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00449280,11330-LBD6-E00,11330-LBD6-E00 COVER R CRANKE CASE,Pe comanda,Marfuri gestiune 1 firma,1,BUC,0,0,,EUR,21,
00449741,11330-LDE9-E00-M3A,11330-LDE9-E00-M3A COVER COMP R CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00451197,11330-LKM5-E00,11330-LKM5-E00 COVER COMP R CRANK CASE UXV7000I,Pe comanda,Marfuri gestiune 1 firma,0,BUC,50,59.5,,EUR,21,Capac carcasa dreapta
00451240,11330-PTA1-900,11330-PTA1-900 COVER LEFT CRANK CASE UXV450/450 E4,Pe comanda,Marfuri gestiune 1 firma,0,BUC,90,107.1,,EUR,21,Capac carter stanga
00449334,11340-LBD6-C00-N1A,11340-LBD6-C00-N1A COVER COMP L CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,491.7355,595,,EUR,21,Capac variator - negru lucios
00447301,11340-LBD6-C00-NEA,11340-LBD6-C00-NEA COVER L SIDE,Pe comanda,Marfuri gestiune 1 firma,5,BUC,0,0,,EUR,21,Capac variator
00446501,11340-LBD6-E00-N8A,11340-LBD6-E00-N8A COVER L SIDE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,Capac variator
00445789,11340-LBD6-E00-NEA,11340-LBD6-E00-NEA COVER L SIDE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,Capac variator
00448501,11340-LCD2-E00-HJA,11340-LCD2-E00-HJA COVER L,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00450199,11340-LCD2-E00-MX4553,11340-LCD2-E00-MX4553 COVER LEFT,Pe comanda,Marfuri gestiune 1 firma,0,BUC,115.74,137.73,,EUR,21,Capac variator
00446005,11340-LEJ2-E10-NEA,11340-LEJ2-E10-NEA COVER COMP L SIDE,Pe comanda,Marfuri gestiune 1 firma,4,BUC,0,0,,EUR,21,Capac variator
00450119,11341-KEC4-C00-HUA,11341-KEC4-C00-HUA COVER LEFT,Pe comanda,Marfuri gestiune 1 firma,0,BUC,52.26,62.19,,EUR,21,Capac stanga (variator)
00447446,11341-KFA6-900-HUA,11341-KFA6-900-HUA COVER L SIDE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00450563,11341-KFA6-900-NEA,11341-KFA6-900-NEA COVER L SIDE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,56.13,66.79,,EUR,21,Capac variator
00448541,11341-KFC8-900-NEA,11341-KFC8-900-NEA COVER LEFT,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00450652,11341-KHB4-900-HJA,11341-KHB4-900-HJA COVER LEFT,Pe comanda,Marfuri gestiune 1 firma,0,BUC,49.54,58.95,,EUR,21,Capac variator
00445872,11341-KHB4-900-N8A,11341-KHB4-900-N8A COVER LEFT,Pe comanda,Marfuri gestiune 1 firma,1,BUC,0,0,,EUR,21,
00446636,11341-KKD6-900-N8A,11341-KKD6-900-N8A COVER L SIDE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00447092,11341-LBA7-900-N8A,11341-LBA7-900-N8A COVER LEFT,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00448938,11341-LBA8-C10-N8A,11341-LBA8-C10-N8A COVER LEFT CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00447599,11343-LBA2-E00-HQP,11343-LBA2-E00-HQP RR COVER L,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00450827,11343-LDG7-E00-NEP,11343-LDG7-E00-NEP RR COVER L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,35.86,42.67,,EUR,21,Capac stanga
00449087,11344-LEA7-E00,11344-LEA7-E00 FOAM TEXTURE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00448905,11344-LHM2-E00,11344-LHM2-E00 DUCT B L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00448229,11345-KHE7-901,11345-KHE7-901 DUCT L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00448131,11345-LEJ3-E10,11345-LEJ3-E10 DUCT L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
